channel_id,title,handle,subscriber_count,total_view_count,total_video_count,subscriber_count_status,total_view_count_status,total_video_count_status,external_links_status,publication_finalized_status
UCVBoiK-9APR8Zo763sKIZuQ,juanminiboi,@juanminiboi,617000,121599880,231,estimated,exact,exact,observed,ready_partial
UCaoxr_ljSwJVv9SM-bLPDEw,Canal: O Bang dos Monstros,@obangdosmonstros,9640,2599081,354,estimated,exact,exact,observed,ready_auto
UCRMRNU-LTQzceM2N_imi_oA,Bonsai Mais,@BonsaiMais,10400,643690,140,estimated,exact,exact,observed,ready_partial
UC4WoctVvYXhuyML2wU_n52w,Banstur Oficial,@webeditbanstur,1050,186610,192,estimated,exact,exact,observed,ready_partial
UCVF1yaQxGVrcnbzjzhM31qQ,Descobrindo o Mundo,@DESCOBRINDO_MUNDO,13600,4995064,436,estimated,exact,exact,observed,ready_partial
UCnR9BONXEfLMGUttDX594uA,Tropa do Arcanjo,@TropadoArcanjo,71900,17329558,334,estimated,exact,exact,observed,ready_auto
UC9dXi83vJqtrHRpz7EKTNbg,Reylla Garcia,@reyllagarcia,1090,132560,5,estimated,exact,exact,observed,ready_partial
UCuvmdyOwPkZm5YZUsauaeag,CanalBossBrasil,@CanalBossBrasil,63900,13218675,430,estimated,exact,exact,observed,ready_auto
UC1Vd5bDiiwlPo93snPGEQgQ,Deise Misturini,@deisemisturini,99500,12912599,160,estimated,exact,exact,observed,ready_auto
UCKnnNLeBLOuA8-u14Kz-E-Q,Embroidered Phrase,@FraseBordada,19500,651611,56,estimated,exact,exact,observed,ready_partial
UCP8sasYwmGerKWjAIfzUsgA,Mr Fred's Wildlife Channel,@xofred,48400,15919626,371,estimated,exact,exact,observed,ready_partial
UCJWU1QrTDOCQWFZpqVoU3jw,Dan Lellis,@DanLellis,1990000,814621364,136,estimated,exact,exact,observed,ready_auto
UCt0o71mX6nrHWKVsOhPxTaQ,UCLÃ,@oficialucla,1040000,576069275,366,estimated,exact,exact,observed,ready_auto
UCa5senFz5GjpCmchY9EFjog,JGN MOTOS,@JGNMOTOS,187000,38932740,1179,estimated,exact,exact,observed,ready_auto
UCL6bVOwikELnzOVSKmkgoLw,Quivo,@QuivoYT_,699000,106048334,428,estimated,exact,exact,observed,ready_auto
UCXYjQzERHOocNYewObF0Jtw,WAIT a MINUTE,@WAITaMINUTEoficial,1830,201950,78,estimated,exact,exact,observed,ready_partial
UCv_y0KpIJBXh9U0wDU7SFSA,MIRIAN BEM | DIREITO & LIVROS,@mirianbemdireitoelivros,7290,362295,101,estimated,exact,exact,observed,ready_auto
UC_C6qIRuIFNQxtj62Fx53iA,ViktorDolls,@viktordolls,9250,4388882,468,estimated,exact,exact,observed,ready_auto
UC-elKmPaTvTDP5NpHrTC2Cw,DyngoVerso,@dyngoverso,1240000,555158514,1601,estimated,exact,exact,observed,ready_auto
UCNV4h6wj4dAzXxh-P200Lig,Corpo de Bombeiros Militar do Rio de Janeiro,@corpodebombeiros_rj,17400,2315830,930,estimated,exact,exact,observed,ready_auto
UCS_PZo43DmtcQehvavK3Amw,Canal Nobre,@CanalNobreBrasil,23400,6015341,722,estimated,exact,exact,observed,ready_auto
UCPNfKdzR9PbXo8LXsK6Bnzw,Munhoz e Mariano,@MunhozeMarianoOficial,1050000,495496385,1169,estimated,exact,exact,observed,ready_auto
UC939ITmr2FvBByW7xqy_fXQ,BIVAK,@bivak6380,26000,2358818,697,estimated,exact,exact,observed,ready_auto
UC34JLQyMG_B80Q1F8TSpUNQ,Boneco Luizinho Oficial,@bonecoluizinhooficial,115000,58542369,386,estimated,exact,exact,observed,ready_auto
UCXYO84r4R3kg2Xe7gRB878Q,NARUTO BRAZIL,@NarutoBrazil,181000,52933995,347,estimated,exact,exact,observed,ready_auto
UCOjdcls78eEjJ56TKNZRHSQ,Yakko Sideratos,@YakkoSideratos,1550000,422436064,1388,estimated,exact,exact,observed,ready_auto
UCsmZPOZLxnH4LKb0QshjJIw,Madarou Animes,@MadarouAnimes,787000,705795602,420,estimated,exact,exact,observed,ready_auto
UCR_IP0qlS4HWOVfX6UgAJMw,Lídia Ana Brasil,@L%C3%ADdiaAnaBrasil,23500,1085980,298,estimated,exact,exact,observed,ready_auto
UC_I3XbN7ucNBtbOW2qmhI1A,Dornelles,@dornellesmusic,33700,11575441,300,estimated,exact,exact,observed,ready_auto
UCt1z3h_LwC8avIKNwqGKTrg,canal da isabelly oficial,@vilmasantos6365,262000,138554769,5389,estimated,exact,exact,observed,ready_auto
UCM7F3eUGaHa-lRU3K15mIPg,NIKITO Labrae,@NIKITOLABRAE,14500,7410540,79,estimated,exact,exact,observed,ready_partial
UCu9N3CAxKSEmQ0cPZFIuHQA,BONITO MS OFICIAL,@BONITOMSOFICIAL,1200,195807,97,estimated,exact,exact,observed,ready_partial
UCYkXOfIT3paA3HWg4mWDnPw,Fuyuchi,@Fuyuchianimes,75500,61350453,761,estimated,exact,exact,observed,ready_auto
UCtxpJ80NPJCvvAMjuhxGrdA,Frango Albino,@frangoalbino,42300,99257246,222,estimated,exact,exact,observed,ready_auto
UCxB7YC2typ7_00TGXyxuGTQ,PuniGames BR,@PuniGamesBR,2960,828907,1350,estimated,exact,exact,observed,ready_auto
UCm4CFioWL4Eoi6u7RSj7NGw,Bonsai On-Line,@BONSAIONLINECURSOS,90900,8761645,679,estimated,exact,exact,observed,ready_auto
UCub0YCV2lloJ8pu2Hs8k0Dg,Memorial do Bonsai,@Memorialdobonsai,17300,1350051,244,estimated,exact,exact,observed,ready_partial
UCQT9jQI5XpvdCko9yypzztg,Brasil Survival,@BrasilSurvivalGames,12700,3340801,3271,estimated,exact,exact,observed,ready_auto
UCa-b7jwtm-gzbtNDTMUJ8eQ,Bonsai e Ciência,@bonsaieciencia,11800,2832919,475,estimated,exact,exact,observed,ready_auto
UCL0wF2vJY_1QiQQb4iS0CPg,Clara Valverde,@ClaraValverde,44100,7751123,78,estimated,exact,exact,observed,ready_partial
UCW3HIfFL5UXZq-obuS2KI9g,Cortes do Grevthar (OFICIAL),@CortesdoGrevthar,11900,1905853,570,estimated,exact,exact,observed,ready_auto
UC5wpOxz_cIL9ineQx1qvSvw,DJ CON,@DJ.CON_,1720,464045,329,estimated,exact,exact,observed,ready_auto
UCux-_dC3rJbIqGt6uB16Ezg,Pita Mello,@PitaMello,43500,965829,43,estimated,exact,exact,observed,ready_auto
UCgjfY-uU0XjoVOmssa1epAg,Bossa Rústica,@bossanova_rustica,14600,3944827,172,estimated,exact,exact,observed,ready_auto
UCJ1BML7-sqXakgBJqxovMZg,Patricia Carrêro,@PatriciaCarrero,113000,11083626,820,estimated,exact,exact,observed,ready_auto
