channel_id,title,contents,likes_policy_zero,description_empty,subscriber_count,total_view_count,total_video_count,video_views,video_likes,video_comments,channel_issues,video_issues
UCGWppEE6HXYkT0umo274XxA,Mozuka,30,0,7,328000,18453064,5941,23886,603,32,0,0
UCGXJctnOERFLvxiMb-jF6oQ,DETONA FUNK,30,0,21,7310000,1945728328,9359,256746,7801,126,0,0
UCGeMfYbtceZi7nW7jEyxQrQ,Jovens na Bolsa | Caroline Francisco,15,0,9,340000,21851921,1139,68497,3272,219,0,0
UCH3wQn6WcflAey2AFlPphOQ,Hugo Mattos BMX,30,0,25,313000,169336543,483,1893212,50660,586,0,0
UCHJ58Ej2seTs3W3aeYXAwBg,Café com Mayara,6,0,0,1430,370062,73,7695,199,17,0,0
UCHNtZs7TUcYaqvgZpfx11cg,Adam Mitch,11,0,9,964000,412819563,531,2694610,264069,4304,0,0
UCHcc7x2Gn3OhDNuwPTyJ4_A,João Diorícko,1,0,0,23600,3062491,189,7204,228,6,0,0
UCHgoElI7ZuE8lr3g8D3x5yA,Profissão Biotec,4,0,0,6370,284449,221,141,21,1,0,0
UCIECXsMft_86HZwmomsgQTQ,Diesels,30,0,12,183000,8679213,2889,90952,2059,73,0,0
UCIlhUgrGEcQ_AhudFUqkItQ,SE LIGA AQUII,13,0,13,446000,140814044,618,2012274,134349,2731,0,0
UCJ3ZIbFyQx6ycTrH_wNLg5w,Bianca Fernandes,30,0,29,381000,202894484,1287,2925542,268742,3073,0,0
UCJ8A6N9UFaf04Uxf6rLXmPA,On the Road,26,0,12,113000,16131107,798,384693,15574,1146,0,0
UCJDUz4rqMgW46Oiy_hTyUUA,Robson Sugui,30,0,16,2180,2114718,963,3818,498,9,0,0
UCJmo4dHKOA84FAUt9_oiVVA,Guilherme Emanoel,11,0,0,36500,1624821,75,290291,15287,1145,0,0
UCK81Fr8TPbdsnpE_dImEPVg,Eu Quero Investir,24,0,0,203000,9653259,1517,6028,214,13,0,0
UCKAGnRVOfZ8YDwgF-bnacmQ,Nuttyy,30,0,29,282000,90004292,414,5702750,279898,37426,0,0
UCKlEZw3nlsPVExW1zdPjikg,IFBB Brasil,1,0,1,6130,1004808,138,10531,115,1,0,0
UCKm2RmbpNOhK1e6xUHrrQUA,Jessika Germano,24,24,24,14000,3866500,859,31723,0,62,0,0
UCKpILeqQ5hIMgXw2TiRw8aw,Luciano 58 Galdino,7,0,0,11400,1742025,641,6777,651,97,0,0
