start_at_utc,end_at_utc,node,node_id,worker,worker_id,completed,per_minute,enabled,accepting,online
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-25,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-25,63,1.0500,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-26,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-26,32,0.5333,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-27,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-27,57,0.9500,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-28,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-28,39,0.6500,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-29,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-29,64,1.0667,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-30,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-30,65,1.0833,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-31,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-31,40,0.6667,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-32,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-32,70,1.1667,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-33,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-33,78,1.3000,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-34,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-34,56,0.9333,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-35,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-35,51,0.8500,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-36,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-36,60,1.0000,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-37,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-37,55,0.9167,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-38,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-38,73,1.2167,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-39,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-39,37,0.6167,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-40,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-40,62,1.0333,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-41,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-41,65,1.0833,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-42,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-42,61,1.0167,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-43,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-43,64,1.0667,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-44,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-44,66,1.1000,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-45,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-45,37,0.6167,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-46,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-46,0,0.0000,False,False,
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-47,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-47,51,0.8500,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-48,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-48,63,1.0500,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-49,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-49,48,0.8000,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-50,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-50,59,0.9833,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-51,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-51,0,0.0000,False,False,
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-1,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-1,34,0.5667,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-2,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-2,73,1.2167,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-3,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-3,62,1.0333,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-4,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-4,44,0.7333,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-5,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-5,0,0.0000,False,False,
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-6,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-6,78,1.3000,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-7,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-7,61,1.0167,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-8,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-8,54,0.9000,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-9,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-9,59,0.9833,True,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-10,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-10,0,0.0000,False,False,
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-11,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-11,0,0.0000,False,False,
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-12,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-12,0,0.0000,False,False,
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-13,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-13,0,0.0000,False,False,
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-14,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-14,0,0.0000,False,False,
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-15,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-15,0,0.0000,False,False,
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-1,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-1,0,0.0000,False,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-2,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-2,0,0.0000,False,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-3,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-3,0,0.0000,False,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-4,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-4,0,0.0000,False,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-5,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-5,0,0.0000,False,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-6,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-6,0,0.0000,False,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-7,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-7,0,0.0000,False,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-8,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-8,0,0.0000,False,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-9,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-9,0,0.0000,False,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-10,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-10,0,0.0000,False,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-11,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-11,0,0.0000,False,True,True
2026-09-24T00:53:08.453Z,2026-09-24T01:53:08.453Z,备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-12,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-12,0,0.0000,False,True,True
